0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,7,8,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,1,2,6,9,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,3,4,0,7,8
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,7,8,9,10
3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,6,9,10,0,0
0,5,0,0,0,0,0,2,0,0,4,4,0,7,8,6,0,0,0,0
0,0,0,0,0,2,1,1,0,0,0,5,0,9,10,11,13,0,0,0
0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,12,5,0,0,0
0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
0,0,0,0,7,8,0,0,0,5,0,0,0,0,0,0,0,0,7,8
0,0,0,0,9,10,0,0,0,5,0,0,0,0,0,0,0,0,9,10
0,0,0,0,0,0,7,8,0,5,0,7,8,0,0,0,5,12,0,0
0,0,0,0,0,0,9,10,11,5,0,9,10,0,0,0,5,0,0,0
0,0,0,0,7,8,0,0,0,0,0,0,0,0,13,0,7,8,0,0
0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,9,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,10,0,0,0,0,0,0,4,4,4,4,0,0,0
4,4,4,4,0,13,0,0,0,0,0,0,7,8,0,0,0,0,0,0
0,0,0,0,0,0,0,13,0,0,1,0,9,10,0,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,7,8,0,1,0,1,0,3,3,3,3,0
0,0,0,0,0,5,0,0,9,10,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,6,0,0,0
0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
